n,kind,eps,metric,mean,ci_low,ci_high,circuits
6,preserve_Z,0.3,physical_retention1,0.5478011314061061,0.5363949600921424,0.5590450473689644,24
6,preserve_Z,1.0,physical_retention1,0.5252734060177353,0.5063449595521572,0.5441700499643396,24
8,break_X,0.0,A1,0.5173676177689066,0.4855082304030824,0.5500025480962722,10
8,break_X,0.03,A1,0.4732781951469042,0.4469603083518718,0.5002089287922918,10
8,break_X,0.1,A1,0.2190581969257309,0.2011496998168281,0.2352931703598235,10
8,break_X,0.3,A1,0.0294835841240896,0.0248058611611328,0.033830368112437,10
8,break_X,1.0,A1,0.028022222785014,0.0244846330500325,0.0317473324315256,10
8,preserve_Z,0.0,A1,0.5173676177689066,0.4863702320203266,0.5494835744972635,10
8,preserve_Z,0.03,A1,0.5290986891824622,0.4861731019551263,0.5681697343113165,10
8,preserve_Z,0.1,A1,0.5190500022469882,0.488882375554637,0.5504139993704524,10
8,preserve_Z,0.3,A1,0.480857621262262,0.4539697483633682,0.5180812949392899,10
8,preserve_Z,1.0,A1,0.4925061478063049,0.4656441207659746,0.5171252798384675,10
8,break_X,0.0,aligned_retention,0.4692180427071547,0.4566976635357465,0.4829829283881796,10
8,break_X,0.03,aligned_retention,0.4458498852272243,0.433610540467172,0.459048344424355,10
8,break_X,0.1,aligned_retention,0.3259676306726481,0.3097656214108331,0.3436814471696352,10
8,break_X,0.3,aligned_retention,0.2019780866697297,0.1943027420274162,0.2104178675819534,10
8,break_X,1.0,aligned_retention,0.1218384627892359,0.116349063147857,0.1270147269983814,10
8,preserve_Z,0.0,aligned_retention,0.4692180427071547,0.4566696911762654,0.4828009663236425,10
8,preserve_Z,0.03,aligned_retention,0.4746385795315831,0.4615223211015571,0.48933573096735,10
8,preserve_Z,0.1,aligned_retention,0.4774000599109708,0.4642744434251721,0.4928076784822042,10
8,preserve_Z,0.3,aligned_retention,0.4640913965116787,0.4474076510546078,0.4783698204976983,10
8,preserve_Z,1.0,aligned_retention,0.4787140386918839,0.4692634159822135,0.4886281246951888,10
8,break_X,0.0,physical_retention1,0.429524947757654,0.4144499390329285,0.4460675888575209,10
8,break_X,0.03,physical_retention1,0.3836020374773606,0.3720892159801055,0.3959573581073201,10
8,break_X,0.1,physical_retention1,0.1684568927729601,0.156644089180949,0.1803375196578109,10
8,break_X,0.3,physical_retention1,0.0325044961848815,0.0299617817789423,0.0355689676260908,10
8,break_X,1.0,physical_retention1,0.0267307702698396,0.0250878342949102,0.028164053163218,10
8,preserve_Z,0.0,physical_retention1,0.429524947757654,0.414372581855685,0.4462911272308446,10
8,preserve_Z,0.03,physical_retention1,0.4331769397125328,0.4150740429706772,0.4510228505371936,10
8,preserve_Z,0.1,physical_retention1,0.428961413998611,0.4133524693113172,0.4456645951415109,10
8,preserve_Z,0.3,physical_retention1,0.4279316818580692,0.4094272586959663,0.4454472434550675,10
8,preserve_Z,1.0,physical_retention1,0.4198996343843434,0.4011935930160243,0.4371707345281692,10
