family,n,bitflip_rate,shots,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,actual_retention,0.09337803402278982,0.09171459726476967,0.09519633683826437,16
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,rho,2.9764248344764273,2.922462266103003,3.0371477302043792,16
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,expected_scalar_directional_grad2,0.0029512477494599253,0.0028966963464829043,0.0030093431995820174,16
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,estimated_parameter_gradient_norm2,3.3998374073778925,3.339103822441437,3.466670993679391,16
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,finite_difference_snr_mean,0.0076637781987850696,0.007353791354432786,0.007985051843625957,16
SU2-HaarU4-brickwork,8,0.03,100,aligned_crossfit,linearized_shots_for_snr1,1696748.4920757425,1664240.924816331,1728005.5016010583,16
SU2-HaarU4-brickwork,8,0.03,100,physical,actual_retention,0.049582486673332385,0.04845947606765821,0.05071944907187741,16
SU2-HaarU4-brickwork,8,0.03,100,physical,rho,1.5804417627124712,1.5445165057437769,1.616097544256176,16
SU2-HaarU4-brickwork,8,0.03,100,physical,expected_scalar_directional_grad2,0.0015547924300043001,0.0015208028970346552,0.0015916558890096948,16
SU2-HaarU4-brickwork,8,0.03,100,physical,estimated_parameter_gradient_norm2,1.7911208793650037,1.751956142885427,1.8334251709925125,16
SU2-HaarU4-brickwork,8,0.03,100,physical,finite_difference_snr_mean,0.005570453411885862,0.005350363950269625,0.005795564880879027,16
SU2-HaarU4-brickwork,8,0.03,100,physical,linearized_shots_for_snr1,3222627.675173807,3151412.2817829764,3294016.7747468753,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,actual_retention,0.030743155486736548,0.030022201724757735,0.03161345715134582,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,rho,0.9799380811397288,0.9574188255345263,1.008144051121183,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,expected_scalar_directional_grad2,0.0009612278004519437,0.0009390693452698167,0.0009863943708453278,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,estimated_parameter_gradient_norm2,1.107334426120702,1.0816692536421295,1.1363227355314163,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,finite_difference_snr_mean,0.004341615233481494,0.004151455228339291,0.0045452135731515065,16
SU2-HaarU4-brickwork,8,0.03,100,random_rank,linearized_shots_for_snr1,5214489.570273055,5086659.297532499,5330264.662715724,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,actual_retention,0.09337803402278982,0.09170472243421576,0.09526232306649281,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,rho,2.9764248344764273,2.92241217454783,3.0358667197981872,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,expected_scalar_directional_grad2,0.0029512477494599253,0.002897218860678895,0.0030097199553501667,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,estimated_parameter_gradient_norm2,3.3998374073778925,3.33707122066171,3.4676051689850844,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,finite_difference_snr_mean,0.024234994590503614,0.023267240167775163,0.02529541413036948,16
SU2-HaarU4-brickwork,8,0.03,1000,aligned_crossfit,linearized_shots_for_snr1,1696748.4920757425,1663978.2503020542,1728275.8359032487,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,actual_retention,0.049582486673332385,0.04848284338512765,0.050732955013030046,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,rho,1.5804417627124712,1.5450276659339466,1.6169854378022925,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,expected_scalar_directional_grad2,0.0015547924300043001,0.0015206789685826656,0.0015917799063124064,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,estimated_parameter_gradient_norm2,1.7911208793650037,1.7525430147313539,1.8325219682561888,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,finite_difference_snr_mean,0.017615320381415514,0.016906818613777064,0.018354122134715812,16
SU2-HaarU4-brickwork,8,0.03,1000,physical,linearized_shots_for_snr1,3222627.675173807,3148445.622444825,3293986.5757327895,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,actual_retention,0.030743155486736548,0.03001584892608679,0.03163125473382894,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,rho,0.9799380811397288,0.9573303203257933,1.0088823551632256,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,expected_scalar_directional_grad2,0.0009612278004519437,0.000939060136900749,0.0009862331113253292,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,estimated_parameter_gradient_norm2,1.107334426120702,1.080984733681309,1.1373417922368976,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,finite_difference_snr_mean,0.01372939286188535,0.01310511023122575,0.014389740651218726,16
SU2-HaarU4-brickwork,8,0.03,1000,random_rank,linearized_shots_for_snr1,5214489.570273055,5084002.6317092,5332391.839671929,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,actual_retention,0.09337803402278982,0.091726419287583,0.09521132813848451,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,rho,2.9764248344764273,2.9220755391327895,3.0352814035005826,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,expected_scalar_directional_grad2,0.0029512477494599253,0.0028974886942864987,0.0030092514736851737,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,estimated_parameter_gradient_norm2,3.3998374073778925,3.3381758791497633,3.4670954142807213,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,finite_difference_snr_mean,0.07663778198785123,0.07357323528044679,0.07987114339590048,16
SU2-HaarU4-brickwork,8,0.03,10000,aligned_crossfit,linearized_shots_for_snr1,1696748.4920757425,1663668.0766348566,1728134.97701263,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,actual_retention,0.049582486673332385,0.04848206394487314,0.05074214227929372,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,rho,1.5804417627124712,1.545599610667095,1.616850447278928,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,expected_scalar_directional_grad2,0.0015547924300043001,0.0015209352416715434,0.0015912159261598775,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,estimated_parameter_gradient_norm2,1.7911208793650037,1.7519404565215277,1.8336757511968536,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,finite_difference_snr_mean,0.0557045341188591,0.05347818928674808,0.0579802353291529,16
SU2-HaarU4-brickwork,8,0.03,10000,physical,linearized_shots_for_snr1,3222627.675173807,3149151.2416982222,3293836.015272861,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,actual_retention,0.030743155486736548,0.030010258825572476,0.03160934036402092,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,rho,0.9799380811397288,0.9568417179865665,1.008044385522203,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,expected_scalar_directional_grad2,0.0009612278004519437,0.0009395223582377278,0.0009869032244115975,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,estimated_parameter_gradient_norm2,1.107334426120702,1.0815239985857328,1.136478125454204,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,finite_difference_snr_mean,0.043416152334815356,0.04147609645251333,0.045480713137153114,16
SU2-HaarU4-brickwork,8,0.03,10000,random_rank,linearized_shots_for_snr1,5214489.570273055,5086561.7412503,5332863.488822796,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,actual_retention,0.10017106912776091,0.09827116528645699,0.10220976950697327,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,rho,3.192952828447381,3.131910692077387,3.258714962014975,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,expected_scalar_directional_grad2,0.002260577585342363,0.002217862553673274,0.0023050615461780713,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,estimated_parameter_gradient_norm2,2.6041853783144653,2.553925953740479,2.6566314901434147,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,finite_difference_snr_mean,0.006691245252975469,0.006417310462490373,0.0069691534265295535,16
SU2-HaarU4-brickwork,8,0.05,100,aligned_crossfit,linearized_shots_for_snr1,2215313.191787607,2172387.0226464416,2257068.7274559853,16
SU2-HaarU4-brickwork,8,0.05,100,physical,actual_retention,0.06340253924854515,0.06205899338396112,0.06483587580665501,16
SU2-HaarU4-brickwork,8,0.05,100,physical,rho,2.0209559385473783,1.9775330959102828,2.065994298243844,16
SU2-HaarU4-brickwork,8,0.05,100,physical,expected_scalar_directional_grad2,0.001422873740700475,0.0013917407902044926,0.0014560999428532293,16
SU2-HaarU4-brickwork,8,0.05,100,physical,estimated_parameter_gradient_norm2,1.6391505492870209,1.602854650943275,1.677333775138649,16
SU2-HaarU4-brickwork,8,0.05,100,physical,finite_difference_snr_mean,0.005331407165382612,0.0051189141482237055,0.005550124805610042,16
SU2-HaarU4-brickwork,8,0.05,100,physical,linearized_shots_for_snr1,3521457.9416170693,3441972.538715858,3599075.153739734,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,actual_retention,0.03078494164247436,0.03005132546875754,0.03165524579050842,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,rho,0.981270014853872,0.9577928394539272,1.009597772227534,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,expected_scalar_directional_grad2,0.0006870414903101688,0.0006707368169421155,0.0007054711365252727,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,estimated_parameter_gradient_norm2,0.7914717968373706,0.7730546964142109,0.8127028158261786,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,finite_difference_snr_mean,0.0036729652867411185,0.0035049694317787375,0.0038525154296330856,16
SU2-HaarU4-brickwork,8,0.05,100,random_rank,linearized_shots_for_snr1,7296314.381061388,7113676.832725128,7463862.877035787,16
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,actual_retention,0.10017106912776091,0.09825915197017245,0.10225293903465499,16
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,rho,3.192952828447381,3.1330526173625497,3.258645647904441,16
