family,n,bitflip_rate,shots,metric,contrast,ratio_of_means,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,10,0.05,100,finite_difference_snr_mean,random_over_physical,0.6283857949853151,0.5911853855226339,0.6677625243143767,16
SU2-HaarU4-brickwork,10,0.05,1000,actual_retention,aligned_over_physical,1.9641085621671854,1.9056215968585366,2.025991746675953,16
SU2-HaarU4-brickwork,10,0.05,1000,expected_scalar_directional_grad2,aligned_over_physical,1.9697949428611954,1.909406081616833,2.033560107345967,16
SU2-HaarU4-brickwork,10,0.05,1000,finite_difference_snr_mean,aligned_over_physical,1.4096415173004195,1.3530559014627335,1.4728127032623668,16
SU2-HaarU4-brickwork,10,0.05,1000,linearized_shots_for_snr1,physical_over_aligned,1.97058059780351,1.9084407551033618,2.0360133183342835,16
SU2-HaarU4-brickwork,10,0.05,1000,actual_retention,random_over_physical,0.3973705834208503,0.38847139460142377,0.40572198442542035,16
SU2-HaarU4-brickwork,10,0.05,1000,expected_scalar_directional_grad2,random_over_physical,0.39650334663284775,0.38757796829002905,0.40486418445235817,16
SU2-HaarU4-brickwork,10,0.05,1000,finite_difference_snr_mean,random_over_physical,0.6283857949853245,0.591461714743183,0.6680344384960619,16
SU2-HaarU4-brickwork,10,0.05,10000,actual_retention,aligned_over_physical,1.9641085621671854,1.9046414112979682,2.0254109329265915,16
SU2-HaarU4-brickwork,10,0.05,10000,expected_scalar_directional_grad2,aligned_over_physical,1.9697949428611954,1.9088267992248056,2.033526833305079,16
SU2-HaarU4-brickwork,10,0.05,10000,finite_difference_snr_mean,aligned_over_physical,1.4096415173004169,1.353975370985783,1.4738499151358608,16
SU2-HaarU4-brickwork,10,0.05,10000,linearized_shots_for_snr1,physical_over_aligned,1.97058059780351,1.9092708587257257,2.0355040013542793,16
SU2-HaarU4-brickwork,10,0.05,10000,actual_retention,random_over_physical,0.3973705834208503,0.38852672624242995,0.4058044961006984,16
SU2-HaarU4-brickwork,10,0.05,10000,expected_scalar_directional_grad2,random_over_physical,0.39650334663284775,0.38745079605805555,0.40519314000063644,16
SU2-HaarU4-brickwork,10,0.05,10000,finite_difference_snr_mean,random_over_physical,0.6283857949853267,0.5914194897970413,0.6683570783094622,16
SU2-HaarU4-brickwork,12,0.0,100,actual_retention,aligned_over_physical,9.561123521167133,9.339430448861352,9.811229043913064,16
SU2-HaarU4-brickwork,12,0.0,100,expected_scalar_directional_grad2,aligned_over_physical,9.584279102106274,9.363284936174987,9.840152658397693,16
SU2-HaarU4-brickwork,12,0.0,100,finite_difference_snr_mean,aligned_over_physical,3.110895956483348,2.970635432488987,3.2553682472516847,16
SU2-HaarU4-brickwork,12,0.0,100,linearized_shots_for_snr1,physical_over_aligned,9.588733950422524,9.361168494625549,9.843304485303655,16
SU2-HaarU4-brickwork,12,0.0,100,actual_retention,random_over_physical,1.0667717418562066,1.0363787419798922,1.0945449986902858,16
SU2-HaarU4-brickwork,12,0.0,100,expected_scalar_directional_grad2,random_over_physical,1.0662211575279381,1.0366919257498357,1.0947575662160474,16
SU2-HaarU4-brickwork,12,0.0,100,finite_difference_snr_mean,random_over_physical,1.023654741360062,0.9846816314209386,1.0654439827953777,16
SU2-HaarU4-brickwork,12,0.0,1000,actual_retention,aligned_over_physical,9.561123521167133,9.340463545068737,9.806266691434134,16
SU2-HaarU4-brickwork,12,0.0,1000,expected_scalar_directional_grad2,aligned_over_physical,9.584279102106274,9.35733077024597,9.836959319000579,16
SU2-HaarU4-brickwork,12,0.0,1000,finite_difference_snr_mean,aligned_over_physical,3.1108959564833483,2.97131519673579,3.2534604510169935,16
SU2-HaarU4-brickwork,12,0.0,1000,linearized_shots_for_snr1,physical_over_aligned,9.588733950422524,9.362780495719628,9.839334787819936,16
SU2-HaarU4-brickwork,12,0.0,1000,actual_retention,random_over_physical,1.0667717418562066,1.037158028031835,1.0954557627476909,16
SU2-HaarU4-brickwork,12,0.0,1000,expected_scalar_directional_grad2,random_over_physical,1.0662211575279381,1.0368761599223781,1.094434802590123,16
SU2-HaarU4-brickwork,12,0.0,1000,finite_difference_snr_mean,random_over_physical,1.0236547413600623,0.9849256537236105,1.0652138355321836,16
SU2-HaarU4-brickwork,12,0.0,10000,actual_retention,aligned_over_physical,9.561123521167133,9.340574267213002,9.807376824329523,16
SU2-HaarU4-brickwork,12,0.0,10000,expected_scalar_directional_grad2,aligned_over_physical,9.584279102106274,9.360173447543986,9.829814034383595,16
SU2-HaarU4-brickwork,12,0.0,10000,finite_difference_snr_mean,aligned_over_physical,3.1108959564833487,2.975373474220921,3.251594749014483,16
SU2-HaarU4-brickwork,12,0.0,10000,linearized_shots_for_snr1,physical_over_aligned,9.588733950422524,9.357068689617602,9.844238350936248,16
SU2-HaarU4-brickwork,12,0.0,10000,actual_retention,random_over_physical,1.0667717418562066,1.0367632087109497,1.0942176605853697,16
SU2-HaarU4-brickwork,12,0.0,10000,expected_scalar_directional_grad2,random_over_physical,1.0662211575279381,1.0366786341234016,1.0941401081410134,16
SU2-HaarU4-brickwork,12,0.0,10000,finite_difference_snr_mean,random_over_physical,1.0236547413600623,0.9855712586653183,1.066646691165291,16
SU2-HaarU4-brickwork,12,0.01,100,actual_retention,aligned_over_physical,6.904233704188841,6.746099411653601,7.082066956686277,16
SU2-HaarU4-brickwork,12,0.01,100,expected_scalar_directional_grad2,aligned_over_physical,6.919379501563177,6.758181687669205,7.104878359205227,16
SU2-HaarU4-brickwork,12,0.01,100,finite_difference_snr_mean,aligned_over_physical,2.6208231961131623,2.5061628413391204,2.7343182324025603,16
SU2-HaarU4-brickwork,12,0.01,100,linearized_shots_for_snr1,physical_over_aligned,6.922727373855512,6.7635874088701735,7.107293451971758,16
SU2-HaarU4-brickwork,12,0.01,100,actual_retention,random_over_physical,0.7634011740354185,0.7435538542928171,0.7823456576390042,16
SU2-HaarU4-brickwork,12,0.01,100,expected_scalar_directional_grad2,random_over_physical,0.7628637274756479,0.7430658509042085,0.7818985485251514,16
