family,n,shots,method,metric,bitflip_rate,noisy_over_clean,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,8,10000,physical,actual_retention,0.03,1.6935328871841473,1.682089218600838,1.7053233390323805,16
SU2-HaarU4-brickwork,8,10000,physical,actual_retention,0.05,2.1655687835064845,2.151379538813585,2.1801524900721327,16
SU2-HaarU4-brickwork,8,10000,physical,expected_scalar_directional_grad2,0.01,0.9592628744819222,0.959070795244262,0.9594630807934789,16
SU2-HaarU4-brickwork,8,10000,physical,expected_scalar_directional_grad2,0.03,0.8807344027842313,0.8802365136107198,0.8812419209312337,16
SU2-HaarU4-brickwork,8,10000,physical,expected_scalar_directional_grad2,0.05,0.8060071750218982,0.805286750694529,0.806767813526766,16
SU2-HaarU4-brickwork,8,10000,physical,finite_difference_snr_mean,0.01,0.9796797484460639,0.9795007901095312,0.9798607243764527,16
SU2-HaarU4-brickwork,8,10000,physical,finite_difference_snr_mean,0.03,0.9391971132834188,0.9386934304444216,0.9397043060016557,16
SU2-HaarU4-brickwork,8,10000,physical,finite_difference_snr_mean,0.05,0.8988931150167677,0.8980990334869677,0.8996857719174872,16
SU2-HaarU4-brickwork,8,10000,random_rank,actual_retention,0.01,0.9916648076089616,0.9860695817720246,0.9969739945387829,16
SU2-HaarU4-brickwork,8,10000,random_rank,actual_retention,0.03,0.9909839251329928,0.9803664362609728,1.000601746213624,16
SU2-HaarU4-brickwork,8,10000,random_rank,actual_retention,0.05,0.9923308723794179,0.9785480186599912,1.0052119007945652,16
SU2-HaarU4-brickwork,8,10000,random_rank,expected_scalar_directional_grad2,0.01,0.7551082828816923,0.7471866860853122,0.7627693838939574,16
SU2-HaarU4-brickwork,8,10000,random_rank,expected_scalar_directional_grad2,0.03,0.5130676286797413,0.5050529135449268,0.5206687757286574,16
SU2-HaarU4-brickwork,8,10000,random_rank,expected_scalar_directional_grad2,0.05,0.3667171799154147,0.35981785863717175,0.3730979172684421,16
SU2-HaarU4-brickwork,8,10000,random_rank,finite_difference_snr_mean,0.01,0.8700587354083904,0.8612804073676498,0.8796693096414039,16
SU2-HaarU4-brickwork,8,10000,random_rank,finite_difference_snr_mean,0.03,0.7174691805758806,0.7060266100900944,0.7301954894588167,16
SU2-HaarU4-brickwork,8,10000,random_rank,finite_difference_snr_mean,0.05,0.6069721181737783,0.5945577787782194,0.6210658466103488,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,actual_retention,0.01,1.0334131285329473,1.026937919493416,1.039772820912821,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,actual_retention,0.03,1.0803520513240186,1.069555617334987,1.0910740668422219,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,actual_retention,0.05,1.1372846135139543,1.1233657616366184,1.1501500000302456,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.7421671082287479,0.7364559635436568,0.7480086897730746,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.48956661006563157,0.48364115288772286,0.4950344657669711,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.34335843568818897,0.3381491502514391,0.3480674188629857,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,finite_difference_snr_mean,0.01,0.8662935526322116,0.8522977099965149,0.8791933520331586,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,finite_difference_snr_mean,0.03,0.708378209280796,0.6910759452237515,0.725684352434548,16
SU2-HaarU4-brickwork,10,100,aligned_crossfit,finite_difference_snr_mean,0.05,0.5966658805394535,0.5768528783354304,0.6164876794363134,16
SU2-HaarU4-brickwork,10,100,physical,actual_retention,0.01,1.3356525394376568,1.330931604355036,1.340518604282297,16
SU2-HaarU4-brickwork,10,100,physical,actual_retention,0.03,1.9439063739274645,1.9346340245078142,1.95381250038523,16
SU2-HaarU4-brickwork,10,100,physical,actual_retention,0.05,2.670295543872039,2.6567578047527043,2.6850052922081744,16
SU2-HaarU4-brickwork,10,100,physical,expected_scalar_directional_grad2,0.01,0.9599881161038597,0.9599121907119913,0.9600612324007741,16
SU2-HaarU4-brickwork,10,100,physical,expected_scalar_directional_grad2,0.03,0.8825573278527356,0.88236305658435,0.8827469378965627,16
SU2-HaarU4-brickwork,10,100,physical,expected_scalar_directional_grad2,0.05,0.8085412832045604,0.808254601350943,0.8088190019308926,16
SU2-HaarU4-brickwork,10,100,physical,finite_difference_snr_mean,0.01,0.9798133532616496,0.9796962581218556,0.9799439249237144,16
SU2-HaarU4-brickwork,10,100,physical,finite_difference_snr_mean,0.03,0.9395094531969048,0.9391791511017819,0.9398688142821197,16
SU2-HaarU4-brickwork,10,100,physical,finite_difference_snr_mean,0.05,0.8992865260069808,0.8987722918457469,0.8998288759008988,16
SU2-HaarU4-brickwork,10,100,random_rank,actual_retention,0.01,1.0031246350725456,0.9978602100193648,1.0082690865098198,16
SU2-HaarU4-brickwork,10,100,random_rank,actual_retention,0.03,1.004616362849428,0.9963267346199585,1.012713513850425,16
SU2-HaarU4-brickwork,10,100,random_rank,actual_retention,0.05,1.0050734490992945,0.995099810328606,1.0151799043082916,16
SU2-HaarU4-brickwork,10,100,random_rank,expected_scalar_directional_grad2,0.01,0.7208032764103349,0.7160394952817131,0.7255827278892258,16
SU2-HaarU4-brickwork,10,100,random_rank,expected_scalar_directional_grad2,0.03,0.4556705085063629,0.45155232750639207,0.459854510210835,16
SU2-HaarU4-brickwork,10,100,random_rank,expected_scalar_directional_grad2,0.05,0.30375118424155717,0.3007344393123596,0.30692631683601845,16
SU2-HaarU4-brickwork,10,100,random_rank,finite_difference_snr_mean,0.01,0.8457573455029437,0.839413001747083,0.8512897282437822,16
SU2-HaarU4-brickwork,10,100,random_rank,finite_difference_snr_mean,0.03,0.6697670347610953,0.6622191921593532,0.6764342505413371,16
SU2-HaarU4-brickwork,10,100,random_rank,finite_difference_snr_mean,0.05,0.5457466433002139,0.5381993136197653,0.55242671972928,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,actual_retention,0.01,1.0334131285329473,1.0270375804144622,1.0397649165599676,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,actual_retention,0.03,1.0803520513240186,1.0693208778159136,1.0912433487651367,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,actual_retention,0.05,1.1372846135139543,1.123036743714008,1.1500333958805553,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.7421671082287479,0.7362786648663542,0.7478094074303115,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.48956661006563157,0.4836727739284343,0.4948776447611923,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.34335843568818897,0.33818271877670025,0.3480887346775096,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,finite_difference_snr_mean,0.01,0.866293552632217,0.8522909942946694,0.8792447161986489,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,finite_difference_snr_mean,0.03,0.7083782092808026,0.6913476604435534,0.7250917576064453,16
SU2-HaarU4-brickwork,10,1000,aligned_crossfit,finite_difference_snr_mean,0.05,0.5966658805394572,0.5771712312659973,0.6166996140095768,16
SU2-HaarU4-brickwork,10,1000,physical,actual_retention,0.01,1.3356525394376568,1.3307958364496244,1.3405481910932162,16
SU2-HaarU4-brickwork,10,1000,physical,actual_retention,0.03,1.9439063739274645,1.9343363170389556,1.9536722534498763,16
SU2-HaarU4-brickwork,10,1000,physical,actual_retention,0.05,2.670295543872039,2.6562540145086113,2.6849176132125048,16
SU2-HaarU4-brickwork,10,1000,physical,expected_scalar_directional_grad2,0.01,0.9599881161038597,0.9599103613914973,0.9600594397014016,16
SU2-HaarU4-brickwork,10,1000,physical,expected_scalar_directional_grad2,0.03,0.8825573278527356,0.8823618207260593,0.8827474324227942,16
SU2-HaarU4-brickwork,10,1000,physical,expected_scalar_directional_grad2,0.05,0.8085412832045604,0.8082542627982771,0.8088170252646472,16
SU2-HaarU4-brickwork,10,1000,physical,finite_difference_snr_mean,0.01,0.9798133532616623,0.979699904586232,0.9799415363722581,16
SU2-HaarU4-brickwork,10,1000,physical,finite_difference_snr_mean,0.03,0.9395094531969224,0.9391847266820913,0.9398624139381075,16
SU2-HaarU4-brickwork,10,1000,physical,finite_difference_snr_mean,0.05,0.8992865260069904,0.8987775082593437,0.8998530395346742,16
SU2-HaarU4-brickwork,10,1000,random_rank,actual_retention,0.01,1.0031246350725456,0.9978434278947766,1.0083671621813382,16
SU2-HaarU4-brickwork,10,1000,random_rank,actual_retention,0.03,1.004616362849428,0.9963700139459976,1.0125902928111288,16
SU2-HaarU4-brickwork,10,1000,random_rank,actual_retention,0.05,1.0050734490992945,0.9953168740836718,1.0152751550906238,16
SU2-HaarU4-brickwork,10,1000,random_rank,expected_scalar_directional_grad2,0.01,0.7208032764103349,0.7161835934367923,0.7255143618799942,16
SU2-HaarU4-brickwork,10,1000,random_rank,expected_scalar_directional_grad2,0.03,0.4556705085063629,0.45150571909496195,0.4599543642369632,16
SU2-HaarU4-brickwork,10,1000,random_rank,expected_scalar_directional_grad2,0.05,0.30375118424155717,0.3006976265851881,0.3069321298997819,16
SU2-HaarU4-brickwork,10,1000,random_rank,finite_difference_snr_mean,0.01,0.8457573455029573,0.8396021996482126,0.8513396753664649,16
SU2-HaarU4-brickwork,10,1000,random_rank,finite_difference_snr_mean,0.03,0.6697670347611087,0.662220827385684,0.6763782466882903,16
SU2-HaarU4-brickwork,10,1000,random_rank,finite_difference_snr_mean,0.05,0.5457466433002289,0.5381282950463873,0.5523909867765685,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,actual_retention,0.01,1.0334131285329473,1.0267869046771885,1.0397138604686877,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,actual_retention,0.03,1.0803520513240186,1.069293995583746,1.0907900467968163,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,actual_retention,0.05,1.1372846135139543,1.1234316087635448,1.1503056135113863,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.7421671082287479,0.7362484355545091,0.7478620502939984,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.48956661006563157,0.48352756118388435,0.4950466988385278,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.34335843568818897,0.33812382853654477,0.3480297758597793,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,finite_difference_snr_mean,0.01,0.8662935526322189,0.8521871381946241,0.8792479856798501,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,finite_difference_snr_mean,0.03,0.7083782092808041,0.6909433894790514,0.7257968611376323,16
SU2-HaarU4-brickwork,10,10000,aligned_crossfit,finite_difference_snr_mean,0.05,0.5966658805394587,0.5777263257446416,0.6166820248969188,16
