profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.00036644960295805775,-0.0003573104556887205,0.0010599563776454606,0.8
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-2.8827204397706728e-05,-9.532283201404252e-05,3.5669929352155745e-05,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.004208373440206447,-0.015519886669724986,0.004504099727305436,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-8.01594940991808e-05,-0.00029095091646947463,8.794708805247887e-05,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,0.7801412558030278,-1.631994815488208,3.198769745832203,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,-1.9129499794599695e-06,-8.416281436485477e-06,4.512887453702315e-06,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.00036644960295805775,-0.0003537015339462676,0.0010733461639032933,0.8
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-8.015949409916997e-05,-0.0002907916283954732,8.963044988103e-05,0.5
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,12,-0.002032038177380661,-0.7783801834852164,0.8032199800839184,0.4166666666666667
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,12,-0.2960770280110872,-0.3194687928414231,-0.27266918790632233,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,12,4.293671042620405,3.8792571372031386,4.725792956191444,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,12,-0.011469591410633103,-0.01253505488157019,-0.010463819269312995,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,12,0.027828367200289247,0.018953327914590288,0.03763565719018736,0.9166666666666666
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,12,-0.22600030166837623,-0.25004102414830587,-0.20262496801865637,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,12,0.8387695978297228,0.6771631685529396,1.0080254980316956,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,12,-0.352562750861864,-0.3721263107556811,-0.3326973779304214,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,12,4.293671042620405,3.878443696168964,4.724612297731228,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,12,-0.011469591410633103,-0.012537657387566636,-0.010432839488572496,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,12,0.027828367200289247,0.018977090748869177,0.037485855298844205,0.9166666666666666
