profile,family,n,depth_factor,tangent_count_used,reference_tangent_count,metric,circuits,median_abs,q95_abs,max_abs
v2_convergence,SU2-HaarU4-brickwork,8,6.0,128,256,enhancement,16,0.012432065714592384,0.061340391787284385,0.12083528232185581
v2_convergence,SU2-HaarU4-brickwork,8,6.0,128,256,pairwise_purity,16,0.013880085549524697,0.018294737871182215,0.018294737871182215
v2_convergence,SU2-HaarU4-brickwork,8,6.0,256,256,Ffull_over_FQ_mean,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,8,6.0,256,256,actual_retention,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,8,6.0,256,256,deff_pairwise,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,8,6.0,256,256,enhancement,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,8,6.0,256,256,pairwise_purity,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,12,6.0,32,256,Ffull_over_FQ_mean,16,0.0022650259470084044,0.0038248516311858403,0.0038248516311858403
v2_convergence,SU2-HaarU4-brickwork,12,6.0,32,256,actual_retention,16,0.023165899210267182,0.1318924101892033,0.13404023606539792
v2_convergence,SU2-HaarU4-brickwork,12,6.0,32,256,deff_pairwise,16,0.04254779884980005,0.08565627539157039,0.08565627539157039
v2_convergence,SU2-HaarU4-brickwork,12,6.0,32,256,enhancement,16,0.023165899210266586,0.13189241018918224,0.13404023606538287
v2_convergence,SU2-HaarU4-brickwork,12,6.0,32,256,pairwise_purity,16,0.04285267442232783,0.0936806072883143,0.0936806072883143
v2_convergence,SU2-HaarU4-brickwork,12,6.0,64,256,Ffull_over_FQ_mean,16,0.0012129151417327594,0.002894544485898953,0.002894544485898953
v2_convergence,SU2-HaarU4-brickwork,12,6.0,64,256,actual_retention,16,0.020061599412176723,0.06975961250729466,0.07779635730875757
v2_convergence,SU2-HaarU4-brickwork,12,6.0,64,256,deff_pairwise,16,0.014580545303861492,0.035257147791435364,0.035257147791435364
v2_convergence,SU2-HaarU4-brickwork,12,6.0,64,256,enhancement,16,0.02006159941218206,0.06975961250730238,0.07779635730876952
v2_convergence,SU2-HaarU4-brickwork,12,6.0,64,256,pairwise_purity,16,0.014370657570541514,0.036545642925180234,0.036545642925180234
v2_convergence,SU2-HaarU4-brickwork,12,6.0,128,256,Ffull_over_FQ_mean,16,0.0007181852858523728,0.002462677820892647,0.002462677820892647
v2_convergence,SU2-HaarU4-brickwork,12,6.0,128,256,actual_retention,16,0.011400805121911602,0.04693086479651692,0.04878855425874617
v2_convergence,SU2-HaarU4-brickwork,12,6.0,128,256,deff_pairwise,16,0.006897609570275038,0.025842462150419482,0.025842462150419482
v2_convergence,SU2-HaarU4-brickwork,12,6.0,128,256,enhancement,16,0.01140080512189814,0.04693086479650545,0.0487885542587416
v2_convergence,SU2-HaarU4-brickwork,12,6.0,128,256,pairwise_purity,16,0.006902440881583638,0.025191452980271454,0.025191452980271454
v2_convergence,SU2-HaarU4-brickwork,12,6.0,256,256,Ffull_over_FQ_mean,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,12,6.0,256,256,actual_retention,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,12,6.0,256,256,deff_pairwise,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,12,6.0,256,256,enhancement,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,12,6.0,256,256,pairwise_purity,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,16,6.0,32,256,Ffull_over_FQ_mean,16,0.0004395896392442641,0.002212515773047129,0.002212515773047129
v2_convergence,SU2-HaarU4-brickwork,16,6.0,32,256,actual_retention,16,0.01263646233843606,0.05070764191486717,0.05098435806215055
v2_convergence,SU2-HaarU4-brickwork,16,6.0,32,256,deff_pairwise,16,0.06605490957249466,0.1228457976996589,0.1228457976996589
v2_convergence,SU2-HaarU4-brickwork,16,6.0,32,256,enhancement,16,0.012636462338519613,0.050707641914938754,0.05098435806220481
v2_convergence,SU2-HaarU4-brickwork,16,6.0,32,256,pairwise_purity,16,0.06600382965811866,0.14005040091872972,0.14005040091872972
v2_convergence,SU2-HaarU4-brickwork,16,6.0,64,256,Ffull_over_FQ_mean,16,0.00025380505057923857,0.0012270633496282736,0.0012270633496282736
v2_convergence,SU2-HaarU4-brickwork,16,6.0,64,256,actual_retention,16,0.012559587602313333,0.04497905625392776,0.05519362832106822
v2_convergence,SU2-HaarU4-brickwork,16,6.0,64,256,deff_pairwise,16,0.019026403034857874,0.056205925383243684,0.056205925383243684
v2_convergence,SU2-HaarU4-brickwork,16,6.0,64,256,enhancement,16,0.012559587602317533,0.04497905625376309,0.055193628320910605
v2_convergence,SU2-HaarU4-brickwork,16,6.0,64,256,pairwise_purity,16,0.019046421375252632,0.05321493094535498,0.05321493094535498
v2_convergence,SU2-HaarU4-brickwork,16,6.0,128,256,Ffull_over_FQ_mean,16,0.0001766847274350323,0.0003502764773348351,0.0003502764773348351
v2_convergence,SU2-HaarU4-brickwork,16,6.0,128,256,actual_retention,16,0.00939416088108858,0.03358963645212376,0.04100005176297694
v2_convergence,SU2-HaarU4-brickwork,16,6.0,128,256,deff_pairwise,16,0.013626611077939995,0.02095372361552817,0.02095372361552817
v2_convergence,SU2-HaarU4-brickwork,16,6.0,128,256,enhancement,16,0.009394160881075779,0.03358963645205996,0.04100005176258337
v2_convergence,SU2-HaarU4-brickwork,16,6.0,128,256,pairwise_purity,16,0.013527164699144861,0.021402178958182055,0.021402178958182055
v2_convergence,SU2-HaarU4-brickwork,16,6.0,256,256,Ffull_over_FQ_mean,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,16,6.0,256,256,actual_retention,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,16,6.0,256,256,deff_pairwise,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,16,6.0,256,256,enhancement,16,0.0,0.0,0.0
v2_convergence,SU2-HaarU4-brickwork,16,6.0,256,256,pairwise_purity,16,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,8,6.0,32,256,Ffull_over_FQ_mean,20,0.03965744166545358,0.0817242701819739,0.0817242701819739
v2_convergence,U1-RZ-XY-line,8,6.0,32,256,actual_retention,20,0.017192658270301638,0.07268845370882489,0.0785886252739083
v2_convergence,U1-RZ-XY-line,8,6.0,32,256,deff_pairwise,20,0.06215801023859015,0.16141072425858574,0.16141072425858574
v2_convergence,U1-RZ-XY-line,8,6.0,32,256,enhancement,20,0.01719265827030142,0.07268845370882503,0.07858862527390854
v2_convergence,U1-RZ-XY-line,8,6.0,32,256,pairwise_purity,20,0.062338056308479176,0.19247887962301724,0.19247887962301724
v2_convergence,U1-RZ-XY-line,8,6.0,64,256,Ffull_over_FQ_mean,20,0.021325755794008514,0.05297842239165786,0.05297842239165786
v2_convergence,U1-RZ-XY-line,8,6.0,64,256,actual_retention,20,0.010924534079432528,0.02865169618562262,0.033854515497257855
v2_convergence,U1-RZ-XY-line,8,6.0,64,256,deff_pairwise,20,0.03282510378362903,0.11887774190714534,0.11887774190714534
v2_convergence,U1-RZ-XY-line,8,6.0,64,256,enhancement,20,0.010924534079432443,0.028651696185622577,0.03385451549725784
v2_convergence,U1-RZ-XY-line,8,6.0,64,256,pairwise_purity,20,0.03227456239489348,0.10624730250198387,0.10624730250198387
v2_convergence,U1-RZ-XY-line,8,6.0,128,256,Ffull_over_FQ_mean,20,0.010635472748780336,0.033406403164411486,0.033406403164411486
v2_convergence,U1-RZ-XY-line,8,6.0,128,256,actual_retention,20,0.010342780470922516,0.038998105332523465,0.04175845965335523
v2_convergence,U1-RZ-XY-line,8,6.0,128,256,deff_pairwise,20,0.020203328341696795,0.05229434535228942,0.05229434535228942
v2_convergence,U1-RZ-XY-line,8,6.0,128,256,enhancement,20,0.010342780470922325,0.038998105332523555,0.04175845965335535
v2_convergence,U1-RZ-XY-line,8,6.0,128,256,pairwise_purity,20,0.020625370260880013,0.04969554914293667,0.04969554914293667
v2_convergence,U1-RZ-XY-line,8,6.0,256,256,Ffull_over_FQ_mean,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,8,6.0,256,256,actual_retention,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,8,6.0,256,256,deff_pairwise,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,8,6.0,256,256,enhancement,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,8,6.0,256,256,pairwise_purity,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,12,6.0,32,256,Ffull_over_FQ_mean,20,0.015962025403564284,0.041822997894026756,0.041822997894026756
v2_convergence,U1-RZ-XY-line,12,6.0,32,256,actual_retention,20,0.018122427934621835,0.09703928555069577,0.1118690600323568
v2_convergence,U1-RZ-XY-line,12,6.0,32,256,deff_pairwise,20,0.05726679050989422,0.13582496629408913,0.13582496629408913
v2_convergence,U1-RZ-XY-line,12,6.0,32,256,enhancement,20,0.018122427934621762,0.09703928555069555,0.11186906003235682
v2_convergence,U1-RZ-XY-line,12,6.0,32,256,pairwise_purity,20,0.05628091024004701,0.15717298116287826,0.15717298116287826
v2_convergence,U1-RZ-XY-line,12,6.0,64,256,Ffull_over_FQ_mean,20,0.007557810019426098,0.02300979404464331,0.02300979404464331
v2_convergence,U1-RZ-XY-line,12,6.0,64,256,actual_retention,20,0.014239414673914083,0.05345416808112688,0.05448150748164897
v2_convergence,U1-RZ-XY-line,12,6.0,64,256,deff_pairwise,20,0.023395295478377175,0.046157648835163476,0.046157648835163476
v2_convergence,U1-RZ-XY-line,12,6.0,64,256,enhancement,20,0.014239414673914066,0.05345416808112677,0.05448150748164911
v2_convergence,U1-RZ-XY-line,12,6.0,64,256,pairwise_purity,20,0.023074709134540846,0.048391276376854156,0.048391276376854156
v2_convergence,U1-RZ-XY-line,12,6.0,128,256,Ffull_over_FQ_mean,20,0.008520862407033942,0.019411387808147596,0.019411387808147596
v2_convergence,U1-RZ-XY-line,12,6.0,128,256,actual_retention,20,0.008864448720252986,0.03623102980244601,0.037789761527194016
v2_convergence,U1-RZ-XY-line,12,6.0,128,256,deff_pairwise,20,0.015087858595658204,0.04349750715308288,0.04349750715308288
v2_convergence,U1-RZ-XY-line,12,6.0,128,256,enhancement,20,0.008864448720252941,0.036231029802446205,0.03778976152719427
v2_convergence,U1-RZ-XY-line,12,6.0,128,256,pairwise_purity,20,0.014857143508976198,0.04168434218089695,0.04168434218089695
v2_convergence,U1-RZ-XY-line,12,6.0,256,256,Ffull_over_FQ_mean,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,12,6.0,256,256,actual_retention,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,12,6.0,256,256,deff_pairwise,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,12,6.0,256,256,enhancement,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,12,6.0,256,256,pairwise_purity,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,16,6.0,32,256,Ffull_over_FQ_mean,20,0.007000006212162756,0.017328975249109323,0.017328975249109323
v2_convergence,U1-RZ-XY-line,16,6.0,32,256,actual_retention,20,0.019819113157748734,0.06529623683329797,0.1298953839803444
v2_convergence,U1-RZ-XY-line,16,6.0,32,256,deff_pairwise,20,0.03727450985038775,0.12127134817401936,0.12127134817401936
v2_convergence,U1-RZ-XY-line,16,6.0,32,256,enhancement,20,0.019819113157748897,0.06529623683329824,0.12989538398034445
v2_convergence,U1-RZ-XY-line,16,6.0,32,256,pairwise_purity,20,0.035935020523222144,0.13800773187721008,0.13800773187721008
v2_convergence,U1-RZ-XY-line,16,6.0,64,256,Ffull_over_FQ_mean,20,0.0039078657735851395,0.02512446257955295,0.02512446257955295
v2_convergence,U1-RZ-XY-line,16,6.0,64,256,actual_retention,20,0.01893744459672843,0.053883828539822466,0.05535764851140027
v2_convergence,U1-RZ-XY-line,16,6.0,64,256,deff_pairwise,20,0.035347752028845936,0.09995494849896437,0.09995494849896437
v2_convergence,U1-RZ-XY-line,16,6.0,64,256,enhancement,20,0.018937444596728626,0.05388382853982255,0.055357648511400036
v2_convergence,U1-RZ-XY-line,16,6.0,64,256,pairwise_purity,20,0.03409847245952828,0.09087185673864646,0.09087185673864646
v2_convergence,U1-RZ-XY-line,16,6.0,128,256,Ffull_over_FQ_mean,20,0.002252304989653419,0.012275928669254397,0.012275928669254397
v2_convergence,U1-RZ-XY-line,16,6.0,128,256,actual_retention,20,0.008601756196607743,0.031935664794473295,0.052852815494107384
v2_convergence,U1-RZ-XY-line,16,6.0,128,256,deff_pairwise,20,0.013597295374531304,0.04222882499905076,0.04222882499905076
v2_convergence,U1-RZ-XY-line,16,6.0,128,256,enhancement,20,0.008601756196607815,0.031935664794473385,0.05285281549410738
v2_convergence,U1-RZ-XY-line,16,6.0,128,256,pairwise_purity,20,0.013706799339053388,0.040517805673899086,0.040517805673899086
v2_convergence,U1-RZ-XY-line,16,6.0,256,256,Ffull_over_FQ_mean,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,16,6.0,256,256,actual_retention,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,16,6.0,256,256,deff_pairwise,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,16,6.0,256,256,enhancement,20,0.0,0.0,0.0
v2_convergence,U1-RZ-XY-line,16,6.0,256,256,pairwise_purity,20,0.0,0.0,0.0
