profile,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,k,tangent_count_used,reference_tangent_count,metric,value,reference_value,relative_difference
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,128,256,actual_retention,0.0298703544765463,0.0307397334778217,-0.028281930352540143
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,128,256,deff_pairwise,170.67711572598697,169.60736978272934,0.006307190216014769
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,128,256,pairwise_purity,0.0058590162819803,0.0058959702121495,-0.006267658899132617
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,128,256,Ffull_over_FQ_mean,0.4850407357380324,0.4868628744770107,-0.0037426117999562855
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,256,256,enhancement,0.9798290046055684,0.9798290046055684,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,256,256,actual_retention,0.0307397334778217,0.0307397334778217,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,256,256,deff_pairwise,169.60736978272934,169.60736978272934,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,256,256,pairwise_purity,0.0058959702121495,0.0058959702121495,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,1,256,256,Ffull_over_FQ_mean,0.4868628744770107,0.4868628744770107,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,32,256,enhancement,0.9739898894891156,0.9759860370211896,-0.00204526238732518
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,32,256,actual_retention,0.1375044549866986,0.1377862640500503,-0.002045262387325583
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,32,256,deff_pairwise,168.86746472159726,169.60736978272934,-0.004362458200253395
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,32,256,pairwise_purity,0.0059218038338447,0.0058959702121495,0.004381572627684927
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,32,256,Ffull_over_FQ_mean,0.4786487632157371,0.4868628744770107,-0.016871508779750768
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,64,256,enhancement,0.9632818688779704,0.9759860370211896,-0.013016751942470008
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,64,256,actual_retention,0.1359927344298311,0.1377862640500503,-0.013016751942470152
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,64,256,deff_pairwise,171.71957037518163,169.60736978272934,0.0124534717751833
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,64,256,pairwise_purity,0.005823448066025,0.0058959702121495,-0.012300290455175212
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,64,256,Ffull_over_FQ_mean,0.4830031745173183,0.4868628744770107,-0.007927694145581608
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,128,256,enhancement,0.9885655913090364,0.9759860370211896,0.01288907198533388
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,128,256,actual_retention,0.1395622011259816,0.1377862640500503,0.012889071985333895
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,128,256,deff_pairwise,170.67711572598697,169.60736978272934,0.006307190216014769
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,128,256,pairwise_purity,0.0058590162819803,0.0058959702121495,-0.006267658899132617
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,128,256,Ffull_over_FQ_mean,0.4850407357380324,0.4868628744770107,-0.0037426117999562855
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,256,256,enhancement,0.9759860370211896,0.9759860370211896,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,256,256,actual_retention,0.1377862640500503,0.1377862640500503,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,256,256,deff_pairwise,169.60736978272934,169.60736978272934,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,256,256,pairwise_purity,0.0058959702121495,0.0058959702121495,0.0
v2_convergence,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,2,256,256,Ffull_over_FQ_mean,0.4868628744770107,0.4868628744770107,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,32,256,enhancement,0.804600279403186,0.954108117574721,-0.15669905267295486
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,32,256,actual_retention,0.0252423617067666,0.0299328036886186,-0.1566990526729527
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,32,256,deff_pairwise,168.52771456924424,168.74188518274087,-0.001269220225107096
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,32,256,pairwise_purity,0.0059337421299279,0.005926210904406,0.001270833192301734
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,32,256,Ffull_over_FQ_mean,0.4917847551745795,0.4892476978202568,0.005185629622021795
