family,n,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,12,aligned_crossfit,finite_difference_snr_mean,0.04457147957088466,0.043210490947678495,0.04575024020918295,16
SU2-HaarU4-brickwork,12,aligned_crossfit,finite_difference_grad2_mean,0.0010379933456274126,0.0009756787741658725,0.0010961729247400004,16
SU2-HaarU4-brickwork,12,aligned_crossfit,finite_difference_relative_error_mean,3.229092002088366e-05,3.070294849731796e-05,3.421670620317065e-05,16
SU2-HaarU4-brickwork,12,physical,actual_retention,0.0027365511706037874,0.0026924928290984022,0.0027788899438259554,16
SU2-HaarU4-brickwork,12,physical,rho,0.9338480869685605,0.9188046693010212,0.9478886673508143,16
SU2-HaarU4-brickwork,12,physical,expected_scalar_directional_grad2,0.00011177797957759375,0.00010991285410872546,0.00011351070710251108,16
SU2-HaarU4-brickwork,12,physical,estimated_parameter_gradient_norm2,0.28972852306521557,0.28485163303225186,0.29424018711847155,16
SU2-HaarU4-brickwork,12,physical,linearized_fd_snr,0.014949728521293431,0.014821369451209744,0.015066955285838566,16
SU2-HaarU4-brickwork,12,physical,finite_difference_snr_mean,0.014327537852236507,0.013879837162654436,0.014767965850498471,16
SU2-HaarU4-brickwork,12,physical,finite_difference_grad2_mean,0.00010709819522923048,0.00010041634282794108,0.00011388372721510863,16
SU2-HaarU4-brickwork,12,physical,finite_difference_relative_error_mean,3.101154049693971e-05,3.010889882597087e-05,3.1962053277872494e-05,16
SU2-HaarU4-brickwork,12,random_rank,actual_retention,0.0029192754589436438,0.002852864008276327,0.0029864604663417775,16
SU2-HaarU4-brickwork,12,random_rank,rho,0.9962027503645354,0.9740736669256735,1.0194022515740004,16
SU2-HaarU4-brickwork,12,random_rank,expected_scalar_directional_grad2,0.00011918004677135625,0.00011648771906718234,0.00012197398216518625,16
SU2-HaarU4-brickwork,12,random_rank,estimated_parameter_gradient_norm2,0.30891468123149163,0.3018013309601472,0.3163410147491686,16
SU2-HaarU4-brickwork,12,random_rank,linearized_fd_snr,0.015434515600259307,0.015258306365822542,0.015619371883129238,16
