profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,omitted_family,remaining_families,full_family_balanced_mean,leave_one_family_out_mean,absolute_shift
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,SU2-HaarU4-brickwork,4,0.014827909889900515,0.014720242217437956,-0.00010766767246255839
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,RY-RZ-CZ-line,4,7.080411860000197e-05,5.740158888798525e-05,-1.3402529712016714e-05
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CNOT-line,4,7.080411860000197e-05,7.730960211255563e-05,6.505483512553664e-06
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CZ-random-matching,4,7.080411860000197e-05,7.480752796884286e-05,4.003409368840891e-06
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CZ-ring,4,7.080411860000197e-05,7.555516243265622e-05,4.751043832654258e-06
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-HaarU4-brickwork,4,7.080411860000197e-05,6.894671159796983e-05,-1.8574070020321398e-06
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,RY-RZ-CZ-line,4,0.4901108206196776,0.4924246244630571,0.002313803843379536
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CNOT-line,4,0.4901108206196776,0.4896945208123271,-0.0004162998073504731
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CZ-random-matching,4,0.4901108206196776,0.48960868008972147,-0.0005021405299561188
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CZ-ring,4,0.4901108206196776,0.4894549510003041,-0.0006558696193734725
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,4,0.4901108206196776,0.4893713267329783,-0.000739493886699305
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,RY-RZ-CZ-line,4,-1.0116632607284086,-0.815802304096178,0.19586095663223058
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CNOT-line,4,-1.0116632607284086,-1.1664290528864951,-0.1547657921580865
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CZ-random-matching,4,-1.0116632607284086,-1.0901766302483744,-0.07851336951996579
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CZ-ring,4,-1.0116632607284086,-1.0797756752818874,-0.06811241455347883
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-HaarU4-brickwork,4,-1.0116632607284086,-0.9061326411291075,0.1055306195993011
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,RY-RZ-CZ-line,4,-0.0016630587246855935,-0.0012950178832639243,0.00036804084142166914
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CNOT-line,4,-0.0016630587246855935,-0.0019305693487268057,-0.00026751062404121225
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CZ-random-matching,4,-0.0016630587246855935,-0.0018053910999632663,-0.00014233237527767287
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CZ-ring,4,-0.0016630587246855935,-0.0017925665541574118,-0.00012950782947181833
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-HaarU4-brickwork,4,-0.0016630587246855935,-0.001491748737316558,0.0001713099873690354
