family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
SU2-CZ-random-matching,12,2,exploratory_post_hoc,16,r_times_deff,62693.66565191295,62221.936977423946,63208.83243699181
SU2-CZ-ring,6,1,exploratory_post_hoc,16,enhancement,0.9873668149085162,0.9550959877881537,1.0189189279907018
SU2-CZ-ring,6,1,exploratory_post_hoc,16,orientation_growth_ratio,0.08171807631143015,0.05338087913619488,0.11544473228115464
SU2-CZ-ring,6,1,exploratory_post_hoc,16,population_orientation_z,-0.3739911425618906,-1.2332335662161902,0.4657391123137314
SU2-CZ-ring,6,1,exploratory_post_hoc,16,r_times_deff,295.92242078635996,292.68840827595204,299.049686314856
SU2-CZ-ring,6,2,exploratory_post_hoc,16,enhancement,0.9714801385885539,0.9600009824061206,0.9826701309685045
SU2-CZ-ring,6,2,exploratory_post_hoc,16,orientation_growth_ratio,0.05841463457943491,0.04118935891133552,0.0773968446695407
SU2-CZ-ring,6,2,exploratory_post_hoc,16,population_orientation_z,-1.7484670025814397,-2.448242825153956,-1.0738282053554353
SU2-CZ-ring,6,2,exploratory_post_hoc,16,r_times_deff,1035.7284727522597,1024.7087487257704,1046.5807094771628
SU2-CZ-ring,8,1,exploratory_post_hoc,16,enhancement,0.9635022514083034,0.9391925670934281,0.9910854873569741
SU2-CZ-ring,8,1,exploratory_post_hoc,16,orientation_growth_ratio,0.06545569462501838,0.0470185509003847,0.0830614132558713
SU2-CZ-ring,8,1,exploratory_post_hoc,16,population_orientation_z,-1.5353304838033361,-2.5446586699074465,-0.3944801102250026
SU2-CZ-ring,8,1,exploratory_post_hoc,16,r_times_deff,1264.8310824138807,1256.1080101201458,1273.3565470618848
SU2-CZ-ring,8,2,exploratory_post_hoc,16,enhancement,0.9857791498392128,0.9761231108140568,0.9965615541514339
SU2-CZ-ring,8,2,exploratory_post_hoc,16,orientation_growth_ratio,0.027142992281362487,0.019608334660995243,0.03453988961920398
SU2-CZ-ring,8,2,exploratory_post_hoc,16,population_orientation_z,-1.3277411702443191,-2.2280370075376346,-0.3460172792964545
SU2-CZ-ring,8,2,exploratory_post_hoc,16,r_times_deff,5691.739870862464,5652.432007572801,5729.332989980923
SU2-CZ-ring,10,1,exploratory_post_hoc,16,enhancement,0.9582305451626847,0.9356130381058395,0.9793223590204307
SU2-CZ-ring,10,1,exploratory_post_hoc,16,orientation_growth_ratio,0.04302229729999936,0.026220750028188564,0.06089416148013884
SU2-CZ-ring,10,1,exploratory_post_hoc,16,population_orientation_z,-2.4239465725086884,-3.7075780790576642,-1.1955443116362297
SU2-CZ-ring,10,1,exploratory_post_hoc,16,r_times_deff,4083.407378881383,4042.0792961082257,4123.63001832727
SU2-CZ-ring,10,2,exploratory_post_hoc,16,enhancement,0.9776802263933846,0.9694421164203176,0.9857768781504515
SU2-CZ-ring,10,2,exploratory_post_hoc,16,orientation_growth_ratio,0.02218418793172868,0.01582955677995082,0.0291153077917657
SU2-CZ-ring,10,2,exploratory_post_hoc,16,population_orientation_z,-3.114263006503064,-4.24816120333128,-1.9973289118256945
SU2-CZ-ring,10,2,exploratory_post_hoc,16,r_times_deff,22458.740583847604,22233.08285090116,22681.210294245615
SU2-CZ-ring,12,1,exploratory_post_hoc,16,enhancement,0.9605544863388593,0.9412635506556774,0.9814180458928413
SU2-CZ-ring,12,1,exploratory_post_hoc,16,orientation_growth_ratio,0.037440959933966345,0.025245488856712756,0.04977644972323927
SU2-CZ-ring,12,1,exploratory_post_hoc,16,population_orientation_z,-3.038453347416238,-4.528918481497009,-1.4751595519449086
SU2-CZ-ring,12,1,exploratory_post_hoc,16,r_times_deff,9532.256681875417,9460.069881499341,9604.196253866381
SU2-CZ-ring,12,2,exploratory_post_hoc,16,enhancement,0.9689936280513028,0.9627856776011674,0.9755129603431653
SU2-CZ-ring,12,2,exploratory_post_hoc,16,orientation_growth_ratio,0.024657518550422676,0.019330739853353044,0.029575433529776568
SU2-CZ-ring,12,2,exploratory_post_hoc,16,population_orientation_z,-6.134957452160876,-7.341644031390266,-4.860926755121339
SU2-CZ-ring,12,2,exploratory_post_hoc,16,r_times_deff,61959.66843219021,61485.77871421099,62432.157234777296
